model,fold,test_year,base_seed,arm,window,models_in_arm,unique_fits_executed_when_reached,identical_fits_reused_when_reached,conceptual_fit_seconds,conceptual_inference_seconds,conceptual_trainable_parameters,n_test,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share
cnn,fold_2,2023,456,Global-All,20,1,1,0,5.799403499986511,0.1979520000022603,12017,243,23.41937810825975,19.02463802198325,2.095105059336963,0.722961275923619,0.512396694214876,0.5256304824561404,0.0574534199838117,1.0,242,1,0,38,90,28,86,0.7272727272727273
cnn,fold_2,2023,456,Global3-All,20,3,3,0,17.112353299977258,0.5616346999886446,36051,243,17.626016925454753,14.61980956385001,1.5664103540867629,0.8430728356281554,0.5330578512396694,0.5293311403508771,0.0590828479202422,1.0,242,1,0,76,52,61,53,0.4338842975206611
cnn,fold_2,2023,456,Global-SHAP,20,1,0,1,5.799403499986511,0.1979520000022603,12017,243,23.41937810825975,19.02463802198325,2.095105059336963,0.722961275923619,0.512396694214876,0.5256304824561404,0.0574534199838117,1.0,242,1,0,38,90,28,86,0.7272727272727273
cnn,fold_2,2023,456,Global-Spearman,20,1,0,1,5.799403499986511,0.1979520000022603,12017,243,23.41937810825975,19.02463802198325,2.095105059336963,0.722961275923619,0.512396694214876,0.5256304824561404,0.0574534199838117,1.0,242,1,0,38,90,28,86,0.7272727272727273
cnn,fold_2,2023,456,Regime-All,20,3,3,0,9.317475600008038,0.5723743999842554,36051,243,24.563143858218265,18.795194322052293,2.0233137632694302,0.6952402103688656,0.5537190082644629,0.5387883771929824,0.0907122852752624,1.0,242,1,0,102,26,82,32,0.2396694214876033
cnn,fold_2,2023,456,Regime-SHAP,20,3,2,1,9.212365500003216,0.6083776000014041,23187,243,18.08934002140063,14.17182601100622,1.5268956895065218,0.8347143287115006,0.5661157024793388,0.549547697368421,0.1212855636370985,1.0,242,1,0,107,21,84,30,0.2107438016528925
cnn,fold_2,2023,456,Regime-Spearman,20,3,2,1,9.199770499995791,0.5909225000068545,23187,243,22.85667283695925,17.619242816893635,1.894421099544204,0.7361143430238615,0.5578512396694215,0.5436540570175439,0.1003708986579766,1.0,242,1,0,101,27,80,34,0.2520661157024793
cnn,fold_2,2023,789,Global-All,20,1,1,0,5.6904756000003545,0.2106701000011526,12017,243,16.984368148149546,14.04219317650108,1.5050417125194495,0.8542902706857084,0.5289256198347108,0.5239857456140351,0.0486291252348019,1.0,242,1,0,78,50,64,50,0.4132231404958678
cnn,fold_2,2023,789,Global3-All,20,3,3,0,16.23180439999851,0.5575954000087222,36051,243,17.731145961661163,14.55558720349284,1.5585356279735294,0.8411952927936872,0.5289256198347108,0.5244654605263158,0.0494625722403473,1.0,242,1,0,77,51,63,51,0.4214876033057851
cnn,fold_2,2023,789,Global-SHAP,20,1,0,1,5.6904756000003545,0.2106701000011526,12017,243,16.984368148149546,14.04219317650108,1.5050417125194495,0.8542902706857084,0.5289256198347108,0.5239857456140351,0.0486291252348019,1.0,242,1,0,78,50,64,50,0.4132231404958678
cnn,fold_2,2023,789,Global-Spearman,20,1,0,1,5.6904756000003545,0.2106701000011526,12017,243,16.984368148149546,14.04219317650108,1.5050417125194495,0.8542902706857084,0.5289256198347108,0.5239857456140351,0.0486291252348019,1.0,242,1,0,78,50,64,50,0.4132231404958678
cnn,fold_2,2023,789,Regime-All,20,3,3,0,10.08625769999344,0.6571552999812411,36051,243,22.36243762016264,18.546650922425982,1.9916212736817809,0.7474030828584791,0.5454545454545454,0.5501644736842105,0.1014190556860903,1.0,242,1,0,60,68,42,72,0.5785123966942148
cnn,fold_2,2023,789,Regime-SHAP,20,3,2,1,12.963921500006109,0.6513780999957817,23187,243,21.68079609400445,17.386807630052292,1.8673165134889496,0.7625674747635227,0.5578512396694215,0.559484649122807,0.1189163388074018,1.0,242,1,0,68,60,47,67,0.5247933884297521
cnn,fold_2,2023,789,Regime-Spearman,20,3,2,1,10.576666999986628,0.6735216999950353,23187,243,26.126567464179644,21.547639696352764,2.320916593924834,0.6552101500455563,0.5247933884297521,0.5243969298245614,0.0487187959777102,1.0,242,1,0,68,60,55,59,0.4917355371900826
cnn,fold_3,2024,123,Global-All,20,1,1,0,6.482617000001483,0.2645093000028282,12017,244,19.44768753994609,15.55018552209513,1.8301743545605047,0.8049677781740612,0.5245901639344263,0.5396056262197995,0.1157133518495904,1.0,244,0,0,22,105,11,106,0.8647540983606558
cnn,fold_3,2024,123,Global3-All,20,3,3,0,19.20123180001974,0.7026451999990968,36051,244,25.64013977077016,21.46608710832938,2.532123899870932,0.6609910152282586,0.5204918032786885,0.5373511003432263,0.1302987831228085,1.0,244,0,0,16,111,6,111,0.9098360655737704
cnn,fold_3,2024,123,Global-SHAP,20,1,0,1,6.482617000001483,0.2645093000028282,12017,244,19.44768753994609,15.55018552209513,1.8301743545605047,0.8049677781740612,0.5245901639344263,0.5396056262197995,0.1157133518495904,1.0,244,0,0,22,105,11,106,0.8647540983606558
cnn,fold_3,2024,123,Global-Spearman,20,1,0,1,6.482617000001483,0.2645093000028282,12017,244,19.44768753994609,15.55018552209513,1.8301743545605047,0.8049677781740612,0.5245901639344263,0.5396056262197995,0.1157133518495904,1.0,244,0,0,22,105,11,106,0.8647540983606558
cnn,fold_3,2024,123,Regime-All,20,3,3,0,11.043156200001247,0.6614013000216801,36051,244,15.950990682206896,12.229107608853804,1.4310867648176129,0.8687963990724474,0.5163934426229508,0.5236556968840433,0.0505132155942508,1.0,244,0,0,44,83,35,82,0.6762295081967213
cnn,fold_3,2024,123,Regime-SHAP,20,3,2,1,10.812499099993149,0.6626873000204796,23187,244,20.087986749262008,15.152327807584763,1.7709682898386676,0.7919138100585359,0.5040983606557377,0.5138636516589272,0.0314902555570492,1.0,244,0,0,35,92,29,88,0.7377049180327869
