stage,model,feature_set,sequence_window,seed,fold,train_start_year,train_end_year,test_year,n_train,n_test,rmse,mae,mape,r2,direction_accuracy,runtime_seconds,news_start_year
track_b_fusion,lstm_attention,technical_vmd_news,20,123,fold_4,2019,2024,2025,1456,234,129.78243784309618,119.41897331818554,15.414706650456294,-5.502053871983373,0.48717948717948717,12.566183200000523,2019
track_b_fusion,lstm_attention,technical_vmd_news,20,456,fold_1,2019,2021,2022,728,241,44.3765093801612,32.832603768219116,3.332940912960313,-2.975532463952972,0.4605809128630705,9.639904800000295,2019
track_b_fusion,lstm_attention,technical_vmd_news,20,456,fold_2,2019,2022,2023,969,243,26.996070006446914,22.637695310302213,2.4467297315035124,0.6318787797327678,0.49794238683127573,9.542536499999187,2019
track_b_fusion,lstm_attention,technical_vmd_news,20,456,fold_3,2019,2023,2024,1212,244,27.244956342009356,21.90739041952324,2.570375243712518,0.6172257938050754,0.5081967213114754,11.692725499999142,2019
track_b_fusion,lstm_attention,technical_vmd_news,20,456,fold_4,2019,2024,2025,1456,234,48.364414857878934,39.75295342532488,5.1724754393347085,0.0970356929256555,0.5170940170940171,12.58364040000015,2019
track_b_fusion,lstm_attention,technical_vmd_news,20,789,fold_1,2019,2021,2022,728,241,31.712513338397244,24.466205210280123,2.485370384599145,-1.0302539029015825,0.4854771784232365,8.408877599999869,2019
track_b_fusion,lstm_attention,technical_vmd_news,20,789,fold_2,2019,2022,2023,969,243,26.202986594121374,21.588575487475325,2.346262868116128,0.6531902081164713,0.48148148148148145,9.365732799999023,2019
track_b_fusion,lstm_attention,technical_vmd_news,20,789,fold_3,2019,2023,2024,1212,244,21.051920522378055,16.35640123477235,1.9292999058966163,0.7714643927710761,0.5245901639344263,11.216200199998639,2019
track_b_fusion,lstm_attention,technical_vmd_news,20,789,fold_4,2019,2024,2025,1456,234,30.33568113988335,24.231772769279456,3.1101059167145175,0.6447564432708245,0.5213675213675214,12.519405600000027,2019
track_b_fusion,lstm_attention,technical_vmd_news,20,2025,fold_1,2019,2021,2022,728,241,33.61026448128812,27.511865821107303,2.795833634683068,-1.2805147639763592,0.4605809128630705,8.559319199999663,2019
track_b_fusion,lstm_attention,technical_vmd_news,20,2025,fold_2,2019,2022,2023,969,243,31.851520084185367,26.24724912892152,2.849065289356657,0.48755166247824444,0.5020576131687243,9.450718500000221,2019
track_b_fusion,lstm_attention,technical_vmd_news,20,2025,fold_3,2019,2023,2024,1212,244,34.20762368211638,26.290846331886566,3.1239055308912174,0.3965848030339696,0.5409836065573771,11.661363800001709,2019
track_b_fusion,lstm_attention,technical_vmd_news,20,2025,fold_4,2019,2024,2025,1456,234,29.965193038246422,23.65206237503988,3.0484166787045233,0.6533805988224284,0.5427350427350427,13.256340099998852,2019
track_b_fusion,lstm_cnn,technical_vmd,20,42,fold_1,2019,2021,2022,728,241,21.927255267410338,17.10991818164888,1.7410817209987606,0.029361366351810636,0.5020746887966805,7.598579999999856,2019
