stage,model,feature_set,sequence_window,seed,fold,train_start_year,train_end_year,test_year,n_train,n_test,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share,runtime_seconds
outer_test,cnn,full_ta,20,2025,fold_4,2012,2024,2025,3086,234,26.737891957025724,20.596018407568987,2.662639944822983,0.7240229067260251,0.5427350427350427,0.5464912280701755,0.0971441254359745,1.0,234,0,0,48,72,35,79,0.6452991452991453,7.004406899999594
outer_test,cnn,full_ta_vmd,20,42,fold_1,2012,2021,2022,2358,241,23.50314112204354,19.52815611328823,1.9870611382930417,-0.1151694020553966,0.5166666666666667,0.4807813927341718,-0.0507634523812258,1.0,240,1,0,16,91,25,108,0.8291666666666667,5.975691100000404
outer_test,cnn,full_ta_vmd,20,42,fold_2,2012,2022,2023,2599,243,18.105056779679032,14.692364034358365,1.5699353235635698,0.8344269900405147,0.5495867768595041,0.5435169956140351,0.088966363766439,1.0,242,1,0,83,45,64,50,0.3925619834710744,6.361904899997171
outer_test,cnn,full_ta_vmd,20,42,fold_3,2012,2023,2024,2842,244,24.458093162726588,19.933210614646093,2.359735266422467,0.6915280905755508,0.5368852459016393,0.5510801534423582,0.1407510267794647,1.0,244,0,0,26,101,12,105,0.8442622950819673,6.746744600000966
outer_test,cnn,full_ta_vmd,20,42,fold_4,2012,2024,2025,3086,234,24.25630557583366,19.12544245016373,2.46705356539782,0.7728733902846073,0.4871794871794871,0.4929824561403508,-0.0157377895072926,1.0,234,0,0,32,88,32,82,0.7264957264957265,7.240170500001113
outer_test,cnn,full_ta_vmd,20,123,fold_1,2012,2021,2022,2358,241,20.86540893957008,16.38384492832595,1.6662675240330624,0.1210931891784373,0.475,0.4779003583725669,-0.0440141028444622,1.0,240,1,0,54,53,73,60,0.4708333333333333,6.048552200001723
outer_test,cnn,full_ta_vmd,20,123,fold_2,2012,2022,2023,2599,243,20.949448192111007,17.006885844552457,1.8069576538732104,0.7783156994612794,0.5289256198347108,0.5153508771929824,0.0347472641152221,1.0,242,1,0,96,32,82,32,0.2644628099173554,6.350642899997183
outer_test,cnn,full_ta_vmd,20,123,fold_3,2012,2023,2024,2842,244,19.44768753994609,15.55018552209513,1.8301743545605047,0.8049677781740612,0.5245901639344263,0.5396056262197995,0.1157133518495904,1.0,244,0,0,22,105,11,106,0.8647540983606558,6.816130699997302
outer_test,cnn,full_ta_vmd,20,123,fold_4,2012,2024,2025,3086,234,29.172591467136694,22.307324020067863,2.8918983946207506,0.6714747696964265,0.5641025641025641,0.5666666666666667,0.1359420581023188,1.0,234,0,0,56,64,38,76,0.5982905982905983,7.276226200003293
outer_test,cnn,full_ta_vmd,20,456,fold_1,2012,2021,2022,2358,241,18.039757147809905,14.448801536896408,1.4680432593691284,0.3430226428951338,0.4791666666666667,0.498102733469187,-0.0040269036808461,1.0,240,1,0,72,35,90,43,0.325,6.3064105000012205
