regime,feature,consensus_normalized_rank,normalized_rank_std,contributing_cells,consensus_rank
sideway,Return_60D,0.37245179063360884,0.22743831397617442,15,42
sideway,Close_D_lag10,0.3790633608815427,0.20900308170006576,15,43
sideway,Momentum_60,0.38236914600550964,0.17429612019958485,15,44
sideway,ADX_14,0.4,0.23360398887145278,15,45
sideway,Body_M,0.4016528925619835,0.21468977487307192,15,46
sideway,Close_Position_D,0.42038567493112944,0.18765106264979556,15,47
sideway,Body_to_Range_D,0.42203856749311297,0.24451532761287736,15,48
sideway,Volatility_60,0.42479338842975206,0.25206708343631373,15,49
sideway,Close_Position_W,0.43581267217630854,0.172467129438181,15,50
sideway,Down_Ratio_5,0.4380165289256198,0.21334940387201376,15,51
sideway,Volume_MA_20,0.47162534435261705,0.24198826669484536,15,52
sideway,Spread_M,0.4721763085399449,0.31351888712500253,15,53
sideway,MinusDI_14,0.474931129476584,0.18992516105124713,15,54
sideway,Close_Position_M,0.4815426997245179,0.19911957673578912,15,55
sideway,Up_Ratio_5,0.49917355371900823,0.24759520354711656,15,56
sideway,PlusDI_14,0.4991735537190083,0.2142120337386319,15,57
