regime,feature,consensus_normalized_rank,normalized_rank_std,contributing_cells,consensus_rank,selection_fold
bull,Volume_M,0.5371900826446281,0.20184586350115394,5,70,fold_3
bull,Close_Position_M,0.5586776859504132,0.23438168063014786,5,71,fold_3
bull,Momentum_10,0.5586776859504132,0.19351906303428304,5,72,fold_3
bull,Close_to_SMA_60,0.5603305785123966,0.3385102175807961,5,73,fold_3
bull,PlusDI_14,0.5603305785123966,0.34559884684369235,5,74,fold_3
bull,Close_D_lag10,0.5636363636363637,0.23283208102047634,5,75,fold_3
bull,Volume_D_lag2,0.5801652892561984,0.2765447822636091,5,76,fold_3
bull,Volume_D,0.5917355371900826,0.27513338811949156,5,77,fold_3
bull,Close_Position_W,0.5933884297520662,0.15997660507877148,5,78,fold_3
bull,Return_10D,0.5950413223140496,0.16724054830452945,5,79,fold_3
bull,Up_Ratio_5,0.6148760330578512,0.19917183909278766,5,80,fold_3
bull,Down_Ratio_20,0.6165289256198347,0.245135725268715,5,81,fold_3
bull,Momentum_5,0.6165289256198347,0.22448325714145118,5,82,fold_3
bull,Change_pct_D,0.6181818181818182,0.23062145990622399,5,83,fold_3
bull,Volume_D_lag3,0.6181818181818182,0.3394672741063484,5,84,fold_3
bull,Change_pct_D_lag10,0.628099173553719,0.21288011359324394,5,85,fold_3
bull,Change_pct_W,0.631404958677686,0.2766188666822075,5,86,fold_3
bull,Spread_W,0.631404958677686,0.1973632624362244,5,87,fold_3
bull,Change_pct_D_lag20,0.6347107438016529,0.18575747566395107,5,88,fold_3
bull,Down_Ratio_5,0.6380165289256199,0.26299956772744076,5,89,fold_3
bull,Close_to_SMA_10,0.6413223140495867,0.2538280111504385,5,90,fold_3
bull,MinusDI_14,0.6611570247933884,0.22481769435926355,5,91,fold_3
bull,Body_to_Range_D,0.662809917355372,0.23180308137203462,5,92,fold_3
bull,Body_W,0.6826446280991736,0.1614851501712724,5,93,fold_3
bull,Volume_D_lag5,0.6826446280991736,0.14333542736316554,5,94,fold_3
bull,Return_5D,0.6859504132231404,0.25087783862248825,5,95,fold_3
bull,Change_pct_D_lag2,0.6925619834710743,0.11605613012589726,5,96,fold_3
bull,Return_3D,0.6925619834710744,0.22522746131403207,5,97,fold_3
