model,fold,test_year,arm,base_seed,n_test,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share
pit_dern,fold_3,2024,Global-Numeric-News,456,244,23.146803709599308,18.33454018695961,2.1327948851634675,0.723718064782047,0.4918032786885246,0.4990241604414833,-0.0020837599605025,1.0,244,0,0,41,86,38,79,0.6762295081967213
pit_dern,fold_3,2024,Regime-SHAP-Numeric,456,244,21.70110068091137,16.30917798453899,1.888286119546133,0.7571523218478924,0.5,0.5129551113803082,0.0333759121069556,1.0,244,0,0,25,102,20,97,0.8155737704918032
pit_dern,fold_3,2024,Regime-SHAP-Numeric-News,456,244,25.378534944011065,19.204528835795625,2.216239986753842,0.6678735015598856,0.4795081967213114,0.4899051080153442,-0.0234229680858059,1.0,244,0,0,30,97,30,87,0.7540983606557377
pit_dern,fold_3,2024,Global-Numeric,789,244,20.7089559799726,16.81542380189807,1.956256311846991,0.778850051900588,0.4631147540983606,0.4687731341274648,-0.0649754879477564,1.0,244,0,0,42,85,46,71,0.639344262295082
pit_dern,fold_3,2024,Global-Numeric-News,789,244,16.21403891795344,13.168639503917191,1.526956816512056,0.8644333531848357,0.5204918032786885,0.5225452587657312,0.0452721656065052,1.0,244,0,0,60,67,50,67,0.5491803278688525
pit_dern,fold_3,2024,Regime-SHAP-Numeric,789,244,21.058181086574244,16.222180362817003,1.8868727064651285,0.7713284455938555,0.5409836065573771,0.5455952621306952,0.0934306923272644,1.0,244,0,0,55,72,40,77,0.610655737704918
pit_dern,fold_3,2024,Regime-SHAP-Numeric-News,789,244,23.24121677155215,18.574638013350786,2.171870765059356,0.7214596258343686,0.5081967213114754,0.5140991991385693,0.0294109991837472,1.0,244,0,0,47,80,40,77,0.6434426229508197
pit_dern,fold_4,2025,Global-Numeric,123,234,21.14815946364164,15.906959935380897,2.027511293413182,0.8273510819990395,0.5470085470085471,0.5508771929824561,0.1066025188279882,1.0,234,0,0,48,72,34,80,0.6495726495726496
pit_dern,fold_4,2025,Global-Numeric-News,123,234,23.298800442911524,17.5936205227418,2.223618610261174,0.7904508848783542,0.5042735042735043,0.5067982456140351,0.0138625125038548,1.0,234,0,0,49,71,45,69,0.5982905982905983
pit_dern,fold_4,2025,Regime-SHAP-Numeric,123,234,23.917304098262083,18.93232979630004,2.4062267582121795,0.779177583113166,0.4871794871794871,0.4888157894736842,-0.0225471329827458,1.0,234,0,0,51,69,51,63,0.5641025641025641
pit_dern,fold_4,2025,Regime-SHAP-Numeric-News,123,234,25.19233348507359,19.798423404167824,2.495574138851492,0.7550059701510403,0.4957264957264957,0.4969298245614035,-0.0061656422205683,1.0,234,0,0,54,66,52,62,0.5470085470085471
pit_dern,fold_4,2025,Global-Numeric,2025,234,29.40741599098242,21.7805550177871,2.7726430925297683,0.6661645611046612,0.5085470085470085,0.5094298245614035,0.0188976761324291,1.0,234,0,0,57,63,52,62,0.5341880341880342
pit_dern,fold_4,2025,Global-Numeric-News,2025,234,21.92434632694945,17.21724650032962,2.177298892582775,0.8144452759466103,0.4786324786324786,0.4824561403508771,-0.0367594892510304,1.0,234,0,0,40,80,42,72,0.6495726495726496
pit_dern,fold_4,2025,Regime-SHAP-Numeric,2025,234,24.785818144969674,18.79518678394391,2.38127267000316,0.7628488549697061,0.4914529914529914,0.4951754385964912,-0.0100809941490162,1.0,234,0,0,42,78,41,73,0.6452991452991453
pit_dern,fold_4,2025,Regime-SHAP-Numeric-News,2025,234,23.750950406494063,18.94786728995287,2.394662609532828,0.7822387034365863,0.5256410256410257,0.5293859649122807,0.0614024189076443,1.0,234,0,0,46,74,37,77,0.6452991452991453
pit_dern,fold_4,2025,Global-Numeric,42,234,24.912922070649312,20.472614185181317,2.584868138937123,0.7604103533273598,0.4572649572649572,0.4561403508771929,-0.088012518382685,1.0,234,0,0,60,60,67,47,0.4572649572649572
pit_dern,fold_4,2025,Global-Numeric-News,42,234,21.77424636261191,17.15525914012496,2.1796914238885705,0.8169772937082848,0.4871794871794871,0.487938596491228,-0.0241581518086865,1.0,234,0,0,55,65,55,59,0.5299145299145299
