model,fold,test_year,quarter,balanced_accuracy_treatment,balanced_accuracy_control,contrast,balanced_accuracy_delta_pp
cnn,fold_2,2023,2023Q1,0.5571725571725572,0.5067567567567568,news_only_vs_market,5.0415800415800405
cnn,fold_2,2023,2023Q2,0.4906832298136646,0.5167701863354037,news_only_vs_market,-2.608695652173915
cnn,fold_2,2023,2023Q3,0.47648902821316613,0.5146290491118077,news_only_vs_market,-3.81400208986416
cnn,fold_2,2023,2023Q4,0.5,0.5873842592592593,news_only_vs_market,-8.738425925925931
cnn,fold_3,2024,2024Q1,0.5,0.4857142857142857,news_only_vs_market,1.428571428571429
cnn,fold_3,2024,2024Q2,0.5,0.5,news_only_vs_market,0.0
cnn,fold_3,2024,2024Q3,0.5883575883575883,0.5192307692307693,news_only_vs_market,6.912681912681906
cnn,fold_3,2024,2024Q4,0.5305555555555556,0.5311111111111111,news_only_vs_market,-0.05555555555555314
cnn,fold_4,2025,2025Q1,0.5405405405405406,0.5362162162162163,news_only_vs_market,0.432432432432428
cnn,fold_4,2025,2025Q2,0.5,0.4839901477832512,news_only_vs_market,1.6009852216748777
cnn,fold_4,2025,2025Q3,0.5,0.4925925925925926,news_only_vs_market,0.7407407407407418
cnn,fold_4,2025,2025Q4,0.5,0.5435714285714286,news_only_vs_market,-4.357142857142859
lstm_cnn,fold_1,2022,2022Q1,0.5,0.5981047937569677,news_only_vs_market,-9.810479375696769
lstm_cnn,fold_1,2022,2022Q2,0.5,0.5572916666666666,news_only_vs_market,-5.7291666666666625
lstm_cnn,fold_1,2022,2022Q3,0.5,0.38035527690700105,news_only_vs_market,11.964472309299895
lstm_cnn,fold_1,2022,2022Q4,0.5,0.4306698002350176,news_only_vs_market,6.933019976498239
lstm_cnn,fold_2,2023,2023Q1,0.5535343035343036,0.45478170478170477,news_only_vs_market,9.875259875259879
lstm_cnn,fold_2,2023,2023Q2,0.47018633540372673,0.5534161490683229,news_only_vs_market,-8.32298136645962
lstm_cnn,fold_2,2023,2023Q3,0.49425287356321834,0.5276907001044933,news_only_vs_market,-3.3437826541274918
lstm_cnn,fold_2,2023,2023Q4,0.5,0.5972222222222222,news_only_vs_market,-9.722222222222221
lstm_cnn,fold_3,2024,2024Q1,0.5,0.4857142857142857,news_only_vs_market,1.428571428571429
lstm_cnn,fold_3,2024,2024Q2,0.5,0.5,news_only_vs_market,0.0
lstm_cnn,fold_3,2024,2024Q3,0.5,0.5826403326403327,news_only_vs_market,-8.264033264033266
lstm_cnn,fold_3,2024,2024Q4,0.5827777777777778,0.5544444444444444,news_only_vs_market,2.8333333333333433
lstm_cnn,fold_4,2025,2025Q1,0.5,0.5491891891891891,news_only_vs_market,-4.918918918918913
lstm_cnn,fold_4,2025,2025Q2,0.5,0.5,news_only_vs_market,0.0
lstm_cnn,fold_4,2025,2025Q3,0.5,0.5185185185185185,news_only_vs_market,-1.851851851851849
lstm_cnn,fold_4,2025,2025Q4,0.5,0.5971428571428572,news_only_vs_market,-9.714285714285719
lstm_attention,fold_1,2022,2022Q1,0.5,0.5,news_only_vs_market,0.0
lstm_attention,fold_1,2022,2022Q2,0.5,0.546875,news_only_vs_market,-4.6875
lstm_attention,fold_1,2022,2022Q3,0.5151515151515151,0.5,news_only_vs_market,1.5151515151515138
lstm_attention,fold_1,2022,2022Q4,0.4753231492361927,0.5,news_only_vs_market,-2.4676850763807323
lstm_attention,fold_2,2023,2023Q1,0.5556133056133057,0.5228690228690229,news_only_vs_market,3.274428274428276
lstm_attention,fold_2,2023,2023Q2,0.5826086956521739,0.5677018633540373,news_only_vs_market,1.4906832298136607
lstm_attention,fold_2,2023,2023Q3,0.4895506792058516,0.5355276907001045,news_only_vs_market,-4.597701149425292
lstm_attention,fold_2,2023,2023Q4,0.5,0.5584490740740741,news_only_vs_market,-5.8449074074074066
lstm_attention,fold_3,2024,2024Q1,0.5,0.5,news_only_vs_market,0.0
lstm_attention,fold_3,2024,2024Q2,0.5,0.5,news_only_vs_market,0.0
